класс,Вопрос,Ответ,bloom_id,answerability_score,leakage_score,accuracy_score,answerability_verdict,hint_verdict,fact_verdict,answerability_issue_type,hint_issue_type,fact_error_type,Domain
8 класс,"Какие методы используются для разделения смесей на основе различий в физических или химических свойствах её компонентов? Назовите общую тему, объединяющую эти методы.","Методы разделения смесей включают фильтрацию, дистилляцию и хроматографию, основанные на различиях в растворимости, температуре кипения или физических свойствах компонентов. Общая тема – использование различий в физических или химических свойствах для разделения компонентов.",9,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,chemistry
8 класс,"Допустим, у вас есть три вещества: A, B и C. При изменении температуры и давления свойства вещества A меняются, а свойства B и C остаются неизменными. Определите, какие из этих веществ являются чистыми, и обоснуйте ваше заключение, используя определение чистых веществ.","B и C являются чистыми веществами, так как их физические свойства остаются неизменными при изменении температуры и давления, что соответствует определению чистых веществ с фиксированным составом и устойчивыми свойствами.",19,4.0,30.0,1.0,Perfect,REVIEW,False,,LEADING_HINT,Logical Fallacy,chemistry
9 класс,Что характеризует кислотно-основные свойства гидроксидов?,"Список терминов:

   Гидроксид
   Кислотность
   Основность
   Вода
   Ионы водорода (H⁺)
   Ионы гидроксида (OH⁻)
   Растворимость

Ответ:

Кислотно-основные свойства гидроксидов определяются концентрацией ионов водорода (H⁺) и ионов гидроксида (OH⁻) в водном растворе: гидроксиды, увеличивающие концентрацию OH⁻, проявляют основность, а гидроксиды, увеличивающие концентрацию H⁺ – кислотность. Растворимость гидроксидов также влияет на их проявление кислотно-основных свойств.",3,3.0,10.0,3.0,Good,PASS,Mostly Correct,Minor Issues / Implicit Context,OK,Terminological Error,chemistry
11 класс,"Какое из перечисленных соединений является гидридом (ответ обоснуйте): NaH, H2O, HF, NH3.","Натрий (NaH) является гидридом, так как представляет собой соединение водорода с щелочным металлом (натрий), где водород имеет степень окисления -1. Остальные вещества (H2O, HF, NH3) связаны преимущественно с неметаллами через ковалентные связи.",4,4.0,30.0,4.0,Perfect,REVIEW,Perfect,,LEADING HINT,,chemistry
11 класс,"Определите положение в Периодической системе химических элементов элемента с атомным номером 17, используя зависимость между атомным номером, количеством электронов и строением электронных оболочек.","Элемент с атомным номером 17 расположен во 2-ом периоде (#), VIIA группе периодической системы химических элементов Д.И. Менделеева, так как его строение электронных оболочек (2,8,7) соответствует заполнению трёх энергетических уровней с 7 валентными электронами в наружнем уровне.",2,4.0,15.0,3.0,Perfect,PASS,Mostly Correct,,OK,Terminological Error,chemistry
11 класс,"Определите, какой металл из предложенных — железо или золото — обладает лучшей теплопроводностью и температурой плавления при одинаковой плотности, применив знания о физических свойствах металлов.","Железо обладает более высокой температурой плавления, а золото — лучшей теплопроводностью при одинаковой плотности, так как физические свойства металлов зависят от их кристаллической решётки и металлической связи.",18,4.0,30.0,3.0,Perfect,REVIEW,Mostly Correct,,LEADING HINT,Minor Nitpick,chemistry
9 класс,"Напишите последовательность изменения металлических свойств – от наиболее выраженных металлических до наименее выраженных – у элементов, расположенных в одном периоде, начиная с элемента с наименьшим атомным номером. Представьте ответ в виде списка названий химических свойств, характеризующих эту закономерность.",":

Металлические свойства в периоде изменяются в следующем порядке: металлический радиус (уменьшается), энергия ионизации (возрастает), электроотрицательность (возрастает). Соответственно, от наиболее выраженных металлических свойств к наименее выраженным – щелочные металлы → щелочноземельные металлы → металлы средней активности → неметаллы.",5,4.0,30.0,3.0,Perfect,REVIEW,Mostly Correct,,LEADING HINT,Terminological Error,chemistry
10 класс,"Определите, какое вещество обладает кислотными свойствами, если известно, что оно при растворении в воде образует ионы H⁺ и взаимодействует с гидроксидом натрия с образованием хлорида натрия и воды.","Вещество, обладающее кислотными свойствами и образующее при взаимодействии с гидроксидом натрия хлорид натрия и воду, — это соляная кислота. Она растворяется в воде с диссоциацией на H⁺ и Cl⁻, обеспечивая кислотные свойства (в списке терминов: ""химические свойства уксусной кислоты"", но продукт реакции уточняет на HCl).

Answer:  
Соляной кислотой (HCl), так как она диссоциирует на H⁺ и Cl⁻, и при взаимодействии с NaOH образует NaCl и H₂O, что подтверждается терминами ""кислотные свойства"" и ""химические свойства"".",17,4.0,85.0,4.0,Perfect,FAIL,Perfect,,REVEALING_EXAMPLE,,chemistry
10 класс,"Какие из перечисленных веществ относятся к полимерам глюкозы, выступающим основным резервным источником энергии в организме животных и человека: гликоген, фруктоза, крахмал, глюкоза, жиры.",Гликоген относится к полимерам глюкозы и является основным резервным источником энергии в организмах животных и человека.,17,4.0,30.0,4.0,Perfect,REVIEW,Perfect,,LEADING HINT,,chemistry
8 класс,"Как изменится химическая реакция между металлическим железом и кислородом воздуха, если изменится структура атомов железа?","Изменение структуры атомов железа влияет на химическую реакцию с кислородом, изменяя энергетические уровни и процесс окисления, что может привести к образованию различных оксидов железа.",17,2.0,30.0,1.0,Ambiguous,REVIEW,Major Misconception,Missing Data,LEADING HINT,Hallucination,chemistry
10 класс,"Как изменить расположение и типы атомов в веществе, чтобы усилить химические связи и повысить его стабильность?","Для усиления химических связей и повышения стабильности вещества следует вводить ароматичность (правило ароматичности), использовать сопряжённые диены и мезомерный эффект, а также формировать водородные связи или тройные связи (индуктивный эффект, алкины, гидроксильные группы).",5,2.0,10.0,2.0,Ambiguous,PASS,Mixed,Missing Data,OK,Logical Fallacy,chemistry
11 класс,"Представьте в виде классификации по группам периодической таблицы следующее описание: ""щелочноземельные металлы — это элементы второго периода, включающие бериллий, магний, кальций, стронций, барий и радий, обладающие схожими физическими и химическими свойствами"".","Щелочноземельные металлы — это элементы IIA-группы периодической таблицы Д.И. Менделеева: бериллий, магний, кальций, стронций, барий и радий, обладающие сходными физико-химическими свойствами.",12,4.0,85.0,4.0,Perfect,FAIL,Perfect,,DIRECT_ANSWER,,chemistry
9 класс,"Напишите список трех основных характеристик, которые, согласно определению, присущи веществам, находящимся в газообразном состоянии. Перечислите эти характеристики в формате кратких утверждений, каждое из которых описывает одно свойство газа.","Газы не имеют фиксированной формы и объема, принимая форму и объем сосуда. Молекулы газа обладают высокой кинетической энергией, что обеспечивает их хаотичное движение и слабое взаимодействие. Газы обладают высокой сжимаемостью, то есть их объем значительно уменьшается при увеличении давления.",5,4.0,15.0,4.0,Perfect,PASS,Perfect,,OK,,chemistry
9 класс,"Гидроксиды проявляют кислотные свойства в реакциях с основаниями, как основания проявляют основные свойства в реакциях с… ?","Гидроксиды проявляют кислотные свойства в реакциях с основаниями, как основания проявляют основные свойства в реакциях с кислотами. Это связано с переносом протона (H⁺) от кислоты к основанию.

Vocabulary used:

   кислота (acid)
   основание (base)
   протон (proton)
   гидроксид (hydroxide)",11,4.0,30.0,1.0,Perfect,REVIEW,Major Misconception,,LEADING_HINT,Logical Fallacy,chemistry
11 класс,"Что может произойти с химическими свойствами комплексного соединения, если заменить один из лигандов на другой с разным размером и зарядом?","Замена лиганда с другим размером и зарядом приведет к изменению заряда комплексного иона, координационного числа и геометрии комплекса, что скажется на его растворимости в воде или реакционной способности.",6,3.0,30.0,4.0,Good,REVIEW,Perfect,Implicit Context,LEADING HINT,,chemistry
11 класс,"Какие из перечисленных растворов можно отнести к ненасыщенным: раствор, в который при данной температуре еще можно добавить вещество, раствор, концентрация которого равна максимально возможной, раствор, в который вещество больше не растворяется?","Ненасыщенный раствор — это раствор, в который при данной температуре ещё можно добавить вещество.",2,4.0,75.0,3.0,Perfect,FAIL,Mostly Correct,,MULTICHOICE_ELIMINATION,Minor Nitpick,chemistry
10 класс,"Эластомеры так относятся к способности возвращаться в исходную форму, как резина к _______.","Эластомеры так относятся к способности возвращаться в исходную форму, как резина к натуральному каучуку.",5,4.0,80.0,3.0,Perfect,FAIL,Mostly Correct,,MULTICHOICE_ELIMINATION,Terminological Error,chemistry
8 класс,"Гомогенные смеси относятся к веществам, в которых компоненты не различимы невооруженным глазом, как чистые вещества относятся к __________________.","Гомогенные смеси относятся к веществам, в которых компоненты не различимы невооруженным глазом, как чистые вещества относятся к веществам с постоянным составом.",11,3.0,30.0,1.0,Good,REVIEW,False,Implicit Context,LEADING_HINT,Logical Fallacy,chemistry
10 класс,"Сопоставьте галогены и ангидриды кислот из первого списка со способом их взаимодействия и типом образующихся соединений из второго списка.  
СПИСОК 1: 1. Галогены, 2. Ангидриды кислот;  
СПИСОК 2: A. ""Неорганические соединения, образованные кислотами без воды"", B. ""Элементы VIIA группы периодической таблицы"", C. ""Образуют галогенангидриды при реакции с галогенами"".","Галогены (1) — B (""Элементы VIIA группы периодической таблицы""), ангидриды кислот (2) — A (""Неорганические соединения, образованные кислотами без воды"") и C (""Образуют галогенангидриды при реакции с галогенами"").",9,3.0,85.0,2.0,Good,FAIL,Mixed,Ambiguous,MULTICHOICE_ELIMINATION,Hallucination,chemistry
11 класс,"Какое из следующих свойств относится к физическим свойствам металлов (ответ обоснуйте): химическая активность, цвет, реагирование с кислотой, плотность.","Физические свойства металлов включают цвет, так как это внешний признак, не связанный с химическими реакциями. Химическая активность, реагирование с кислотой — это химические свойства, а плотность также относится к физическим вместе с цветом.",10,4.0,30.0,3.0,Perfect,REVIEW,Mostly Correct,,LEADING HINT,Minor Nitpick,chemistry
8 класс,"Установите соответствие между понятиями и их характеристиками:  
1) Вещества  
2) Свойства  

А) Обладают определённым химическим составом  
Б) Отражают характеристики, которые можно наблюдать или измерить","1) Вещества — А) Обладают определённым химическим составом; 2) Свойства — Б) Отражают характеристики, которые можно наблюдать или измерить.",2,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,chemistry
8 класс,"Верно ли утверждение, что природные воды включают в себя дождевые, ледниковые, подземные и поверхностные воды?","Утверждение верно: природные воды включают дождевые, ледниковые, подземные и поверхностные воды, что соответствует классификации вод в природных условиях.",1,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,chemistry
8 класс,"Разделите следующие методы на способы разделения смесей и другие методы: фильтрование, горение, дистилляция, кристаллизация, нагревание.","Способы разделения смесей: фильтрование, дистилляция, кристаллизация. Другие методы: горение, нагревание.",8,4.0,30.0,2.0,Perfect,REVIEW,Mixed,,LEADING HINT,Hallucination,chemistry
10 класс,"АЗотсодержащие органические соединения — это органические вещества, в состав которых входит ___ в качестве неотъемлемой части молекулы.","Азотсодержащие органические соединения — это органические вещества, в состав которых входит аминогруппа в качестве неотёмающей части молекулы.",18,4.0,10.0,2.0,Perfect,PASS,Mixed,,OK,Significant Inaccuracy,chemistry
11 класс,"Напишите математическое выражение для степени диссоциации, используя описанный в определении принцип её расчёта.",Степень диссоциации (α) рассчитывается по формуле α = (число диссоциированных частиц) / (общее число частиц в растворе).,15,2.0,0.0,4.0,Ambiguous,PASS,Perfect,Missing Context,OK,,chemistry
9 класс,"Жидкое состояние вещества характеризуется хаотичным движением молекул, сохранением ______ и способностью принимать форму ______.","Жидкое состояние вещества характеризуется хаотичным движением молекул, сохранением объема и способностью принимать форму сосуда.",4,3.0,30.0,4.0,Good,REVIEW,Perfect,Missing Data,LEADING HINT,,chemistry
10 класс,"Перечислите три физических свойства спиртов, не связанных с химическими реакциями.","Три физических свойства спиртов, не связанных с химическими реакциями: растворимость в воде (за счёт гидроксильной группы), агрегатное состояние (например, этанол — жидкость при комнатной температуре), температура кипения, зависящая от длины углеводородного радикала и взаимодействия молекул через водородные связи.",15,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,chemistry
10 класс,"В лаборатории проводят эксперимент, в котором изучают влияние различных элементов на рост растений. В одном из вариантов эксперимента отсутствие магния в питательном растворе привело к замедлению роста. Объясните, почему это могло произойти, ссылаясь на роль магния в биологических процессах.","Магний является компонентом хлорофилла, необходимым для полноценного фотосинтеза, а также участвует в активации ферментов, стимулирующих обмен веществ, что при его отсутствии ухудшает рост растений.",15,4.0,30.0,4.0,Perfect,REVIEW,Perfect,,LEADING HINT,,chemistry
11 класс,"Почему кальций проявляет схожие химические свойства с другими элементами второй группы периодической таблицы? Объясните, учитывая его атомную структуру и положение в таблице.","Кальций, как и другие элементы IIА-группы, имеет схожие химические свойства из-за одинакового количества валентных электронов (два электрона на внешнем энергетическом уровне), что обуславливает одинаковую степень окисления (+2) и аналогичное образование оксидов, гидроксидов и солей. Их электронные конфигурации и место в группе определяют сходное поведение в реакциях с водой, кислотами.",14,4.0,15.0,4.0,Perfect,PASS,Perfect,,OK,,chemistry
8 класс,"Вы приготовили раствор сахара в воде, но после перемешивания сахар всё ещё виден на дне стакана. Что могло произойти?","Сахар остался на дне из-за недостаточной растворимости веществ в данных условиях, возможно, раствор насыщенный.",15,3.0,30.0,,Good,REVIEW,,Implicit Context,LEADING HINT,,chemistry
10 класс,"Мыло так относится к жирным кислотам, как _______ относится к кислотам в процессе нейтрализации.",Соли.,8,3.0,30.0,3.0,Good,REVIEW,Mostly Correct,Implicit Context,LEADING_HINT,,chemistry
9 класс,"Верно ли, что периодическая зависимость свойств химических элементов означает закономерное изменение свойств элементов при увеличении их атомного номера?","Да, верно. Периодическая зависимость свойств химических элементов выражается в закономерном изменении их химических свойств, таких как электроотрицательность, атомный радиус и энергия ионизации, с увеличением атомного номера и повторением через определенные интервалы (периоды).",1,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,chemistry
8 класс,"Опишите состав воздуха, используя таксономическую классификацию, если воздух — это газовая смесь, состоящая в основном из азота и кислорода, находящаяся в атмосфере Земли.","Воздух — это гомогенная смесь газов, в основном состоящая из простого вещества азота (мольная доля ~78 %) и кислорода (~21 %), а также следовых количеств других газов.",5,3.0,30.0,4.0,Good,REVIEW,Perfect,Implicit Context,REVEALING_EXAMPLE,,chemistry
8 класс,"Сопоставьте определение чистого вещества с примерами, приведя подробное описание, как каждая часть определения соответствует свойствам вещества, которое можно считать чистым.","Чистое вещество — это вещество с постоянным составом, чьи физические свойства воды и химические свойства, такие как реакция с кислотой, соответствуют закону постоянства состава, например, оксид меди (CuO) имеет фиксированную массовую долю элементов и не изменяется при физических явлениях.",13,2.0,30.0,3.0,Ambiguous,REVIEW,Mostly Correct,Missing Data,LEADING HINT,Terminological Error,chemistry
11 класс,Что такое кристаллогидраты?,"Кристаллогидраты — это соединения, в которых молекулы воды связаны с ионами или молекулами вещества в кристаллической решётке.",4,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,chemistry
8 класс,"Приведите пример природной смеси и объясните, почему она относится к природным смесям.","Воздух является природной смесью, так как представляет собой гомогенную смесь газов (азот, кислород, аргон и др.), не образующих химических соединений.",6,3.0,10.0,3.0,Good,PASS,Mostly Correct,Minor Issues / Implicit Context,OK,Terminological Error,chemistry
9 класс,"Вода, масло, ртуть… Продолжите ряд и объясните, какое свойство объединяет все перечисленные вещества, согласно определению жидкого агрегатного состояния.","Ряд можно продолжить, например, спиртом или бензином. Все перечисленные вещества объединяет способность принимать форму сосуда, что является определяющим свойством жидкостей – они обладают текучестью и определенным объемом, но не имеют фиксированной формы, в отличие от твердых тел.",10,4.0,30.0,3.0,Perfect,REVIEW,Mostly Correct,,LEADING HINT,Minor Nitpick,chemistry
9 класс,"Сопоставьте названия атомных орбиталей из первого списка с их порядком заполнения электронами согласно правилу Хунда и принципу Паули из второго списка.

СПИСОК 1: 1. 1s, 2. 2p, 3. 3s, 4. 3d
СПИСОК 2: A. Заполняется после 2p, B. Первая заполняемая орбиталь, C. Заполняется после 3s, D. Заполняется после 1s.","1s - B, 2p - D, 3s - A, 3d - C, что соответствует порядку заполнения атомных орбиталей электронами в соответствии с принципом Паули и правилом Хунда. Орбитали заполняются последовательно по возрастанию суммарного главного квантового числа (n+l).",2,4.0,15.0,3.0,Perfect,PASS,Mostly Correct,,OK,Terminological Error,chemistry
9 класс,"Почему оксид калия (K₂O) реагирует с водой с образованием гидроксида калия (KOH), а оксид углерода(IV) (CO₂) при растворении в воде образует угольную кислоту (H₂CO₃)? Объясните, как состав и строение этих оксидов определяют их разное поведение при взаимодействии с водой, опираясь на кислотно-основные свойства оксидов.","K₂O – основный оксид, реагирует с водой, образуя основание KOH, поскольку калий – активный металл и сильно поляризует связь кислорода, усиливая нуклеофильные свойства, в то время, как CO₂ – кислотный оксид, образует слабую кислоту H₂CO₃ из-за электроотрицательности углерода, способствующей поляризации связи с кислородом в сторону увеличения плотности заряда на кислороде.",14,4.0,30.0,4.0,Perfect,REVIEW,Perfect,,LEADING HINT,,chemistry
10 класс,"Верно ли, что общая формула циклоалканов — это CₙH₂ₙ, где n обозначает количество атомов углерода в цикле?","Да, общая формула циклоалканов соответствует CₙH₂ₙ, где n — количество атомов углерода в цикле, так как молекулярная структура циклических алканов идентична алkenам с той же цепью (строение циклоалканов).",11,,75.0,1.0,,FAIL,Major Misconception,,DIRECT_ANSWER,Hallucination,chemistry
9 класс,"Опираясь на определение свойств атомов химических элементов, сформулируйте одним-двумя ключевыми словами, что в первую очередь определяет, как элемент будет взаимодействовать с другими элементами и какие характеристики он будет проявлять.",Электронная конфигурация. Именно расположение валентных электронов определяет химическую активность и тип образуемых связей.,9,4.0,30.0,4.0,Perfect,REVIEW,Perfect,,LEADING HINT,,chemistry
11 класс,"Почему у металлических изделий, покрытых слоем краски, процесс коррозии происходит медленнее, чем у непокрытых?","Краска создает защитную пленку, которая изолирует металл от контакта с водой и кислородом, замедляя электрохимические реакции коррозии. Это соответствует способам защиты от коррозии, перечисленным в предоставленном словаре.",13,4.0,15.0,4.0,Perfect,PASS,Perfect,,OK,,chemistry
8 класс,Почему природный газ образуется в земной коре в результате геологических процессов?,"Природный газ образуется в результате химических явлений, вызванных геологическими процессами, при которых высокая температура и давление приводят к разложению органических веществ на метан.",14,3.0,0.0,4.0,Good,PASS,Perfect,Implicit Context,OK,,chemistry
11 класс,"Верно ли, что комплексные соединения состоят из центрального атома или иона, связанного с лигандами посредством координационной связи?","Да, комплексные соединения состоят из комплексообразователя (центрального атома или иона) и лигандов, соединённых координационной связью.",12,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,chemistry
8 класс,Способы разделения смесей основаны на различиях в ___ свойствах компонентов. Примером может служить разделение смеси песка и воды с помощью фильтрования.,Способы разделения смесей основаны на различиях в физических свойствах компонентов. Примером может служить разделение смеси песка и воды с помощью фильтрования.,4,3.0,30.0,4.0,Good,REVIEW,Perfect,Implicit Context,LEADING HINT,,chemistry
11 класс,Какое из следующих утверждений описывает энергию сродства к электрону? Обоснуйте свой ответ.,"Энергия сродства к электрону — это энергия, выделяемая атомом при присоединении электрона, что отражает его способность принимать электроны и связано с строением электронных оболочек.",7,3.0,30.0,4.0,Good,REVIEW,Perfect,Implicit Context,LEADING HINT,,chemistry
10 класс,"Обменный механизм: это процесс, обеспечивающий двусторонний обмен веществами или информацией между структурами или системами через специализированные каналы или структуры. обменный механизм — это совокупность физиологических и биохимических процессов, поддерживающих обмен веществ и энергии у организма.  

Человеческие легкие, почки, нервы, солнечные клетки растений — какой из перечисленных объектов наименее соответствует понятию ""обменный механизм""?","Наименее соответствует понятию ""обменный механизм"" — солнечные клетки растений, так как они обеспечивают односторонний процесс энергетического преобразования (фотосинтез), а не двусторонний обмен веществами или информацией между структурами.",17,4.0,35.0,3.0,Perfect,REVIEW,Mostly Correct,,LEADING HINT,Terminological Error,chemistry
10 класс,"Сопоставьте этапы реакции нуклеофильного замещения и типы реагентов, участвующих в них: входящий нуклеофил — атакующая частица, исходящий заместитель — покидающая частица, и исходный субстрат — молекула, содержащая уходящую группу. Объясните, как каждый элемент взаимодействует в ходе реакции.","В реакции нуклеофильного замещения входящий нуклеофил атакует исходный субстрат, содержащий уходящую группу, вытесняя её, при этом уходящая группа покидает молекулу, образуя продукт замещения.",10,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,chemistry
11 класс,Принцип Паули запрещает двум фермионам находиться в одной и той же квантовой системе при ___ квантовых состояниях.,Принцип Паули запрещает двум фермионам находиться в одной и той же квантовой системе при одинаковых квантовых состояниях.,14,3.0,35.0,4.0,Good,REVIEW,Perfect,Minor Issues / Implicit Context,LEADING HINT,,chemistry
10 класс,"Примените правила номенклатуры алканов по IUPAC для определения систематического названия соединения, имеющего 6 атомов углерода в главной цепи и две разветвленные группы — метильные, расположенные у третьего и четвертого атомов углерода.","Систематическое название соединения — 3,4-диметилгексан, согласно IUPAC-номенклатуре, выбранные позиции метильных групп обеспечивают минимальные номера при нумерации цепи с более низкими начальными индексами.",18,4.0,30.0,4.0,Perfect,REVIEW,Perfect,,LEADING HINT,,chemistry
11 класс,"Молярная концентрация так относится к количеству вещества в молях, как плотность относится к _______.","Молярная концентрация так относится к количеству вещества в молях, как плотность относится к массе вещества в единице объёма.",2,4.0,80.0,4.0,Perfect,FAIL,Perfect,,MULTICHOICE_ELIMINATION,,chemistry
11 класс,"Как изменить условия реакции, чтобы увеличить количество образующихся сульфидов?","Чтобы увеличить количество сульфидов, следует повысить концентрацию исходных веществ, обеспечивающих серу (например, сероводород), и регулировать условия по принципу Ле Шателье, уменьшая концентрацию продуктов реакции, а также обеспечив нейтральную или слабокислую среду.",2,,30.0,3.0,,REVIEW,Mostly Correct,,LEADING HINT,Minor Nitpick,chemistry
8 класс,"Соедините каждое физическое свойство из первого списка с соответствующим описанием из второго списка.  

Список 1: температура плавления, цвет, плотность  
Список 2: количество вещества в единице объёма, оттенок, температура, при которой вещество переходит из твёрдого в жидкое состояние","Температура плавления — температура, при которой вещество переходит из твёрдого в жидкое состояние; цвет — оттенок; плотность — количество вещества в единице объёма.",2,4.0,15.0,4.0,Perfect,PASS,Perfect,,OK,,chemistry
10 класс,"Сопоставьте структурные компоненты белков и их функции в живых организмах. Объясните, как каждая пара связана между собой и обеспечивает выполнение соответствующей функции.","Аминогруппа и карбоксильная группа аминокислот формируют пептидную связь, которая обеспечивает первичную структуру белков, являющуюся основой их функций, таких как катализ (ферменты), транспорт и структурная поддержка. Водородные связи и структурная изомерия аминокислот стабилизируют вторичную и третичную структуры, необходимые для биологической активности белков.",17,3.0,10.0,4.0,Good,PASS,Perfect,Implicit Context,OK,,chemistry
9 класс,"Сопоставьте характеристики вещества в газообразном состоянии с описанием движения и расположения его частиц: отсутствие определённой формы – свободное перемещение частиц, отсутствие определённого объёма – значительное расстояние между частицами, хаотическое движение частиц – отсутствие прочных связей между частицами. Объясните, как каждая пара соответствует друг другу и отражает определение газообразного состояния вещества.","Отсутствие определённой формы и объёма у газа обусловлено высокой кинетической энергией частиц, что позволяет им свободно перемещаться и находиться на значительном расстоянии друг от друга, преодолевая межмолекулярные взаимодействия. Хаотичное движение частиц напрямую связано с отсутствием прочных связей, обеспечивая неограниченную свободу и, как следствие, соответствие определению газообразного состояния вещества.",13,4.0,15.0,4.0,Perfect,PASS,Perfect,,OK,,chemistry
8 класс,"Определите, является ли воздух веществом, и обоснуйте свой ответ, используя определение вещества, приведённое в учебнике.","Воздух не является веществом, так как представляет собой гомогенную смесь газов (азот, кислород и др.), а не чистое вещество с постоянным составом, как определено в учебнике.",18,3.0,10.0,0.0,Good,PASS,Hallucination,Implicit Context,OK,Hallucination,chemistry
